The container contains 10000 shapes:
Parallelepiped: a = 18  b = 15  c = 2, Volume = 540.0, Density = 11
Parallelepiped: a = 12  b = 11  c = 16, Volume = 2112.0, Density = 1
Parallelepiped: a = 1  b = 6  c = 19, Volume = 114.0, Density = 3
Parallelepiped: a = 11  b = 6  c = 12, Volume = 792.0, Density = 0
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 11
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 8
Sphere: x = 15, Volume = 2531.25, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 23
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 23
Parallelepiped: a = 15  b = 3  c = 3, Volume = 135.0, Density = 4
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 6
Parallelepiped: a = 15  b = 3  c = 23, Volume = 1035.0, Density = 12
Sphere: x = 3, Volume = 20.25, Density = 11
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 22
Sphere: x = 20, Volume = 6000.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 0, Volume = 0.0, Density = 9
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 7
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 13
Parallelepiped: a = 0  b = 11  c = 24, Volume = 0.0, Density = 5
Sphere: x = 23, Volume = 9125.25, Density = 0
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 17
Parallelepiped: a = 13  b = 24  c = 23, Volume = 7176.0, Density = 21
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 5
Sphere: x = 23, Volume = 9125.25, Density = 15
Parallelepiped: a = 8  b = 3  c = 23, Volume = 552.0, Density = 24
Parallelepiped: a = 8  b = 11  c = 21, Volume = 1848.0, Density = 3
Parallelepiped: a = 22  b = 5  c = 21, Volume = 2310.0, Density = 10
Parallelepiped: a = 16  b = 14  c = 13, Volume = 2912.0, Density = 5
Sphere: x = 14, Volume = 2058.0, Density = 12
Sphere: x = 14, Volume = 2058.0, Density = 1
Parallelepiped: a = 11  b = 12  c = 13, Volume = 1716.0, Density = 13
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 13
Sphere: x = 15, Volume = 2531.25, Density = 22
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 20
Parallelepiped: a = 6  b = 17  c = 13, Volume = 1326.0, Density = 1
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 16
Parallelepiped: a = 20  b = 14  c = 3, Volume = 840.0, Density = 7
Sphere: x = 23, Volume = 9125.25, Density = 5
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 4
Sphere: x = 0, Volume = 0.0, Density = 18
Sphere: x = 13, Volume = 1647.75, Density = 6
Sphere: x = 6, Volume = 162.0, Density = 5
Sphere: x = 9, Volume = 546.75, Density = 3
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 4
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 10
Parallelepiped: a = 2  b = 7  c = 10, Volume = 140.0, Density = 22
Parallelepiped: a = 2  b = 8  c = 23, Volume = 368.0, Density = 4
Parallelepiped: a = 5  b = 6  c = 16, Volume = 480.0, Density = 12
Sphere: x = 14, Volume = 2058.0, Density = 9
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 17
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 9
Parallelepiped: a = 8  b = 20  c = 3, Volume = 480.0, Density = 24
Parallelepiped: a = 18  b = 13  c = 8, Volume = 1872.0, Density = 6
Parallelepiped: a = 14  b = 24  c = 21, Volume = 7056.0, Density = 16
Sphere: x = 0, Volume = 0.0, Density = 4
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 20
Parallelepiped: a = 19  b = 15  c = 18, Volume = 5130.0, Density = 13
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 10
Parallelepiped: a = 13  b = 21  c = 6, Volume = 1638.0, Density = 9
Sphere: x = 4, Volume = 48.0, Density = 6
Parallelepiped: a = 12  b = 6  c = 17, Volume = 1224.0, Density = 17
Parallelepiped: a = 6  b = 2  c = 11, Volume = 132.0, Density = 2
Parallelepiped: a = 12  b = 10  c = 0, Volume = 0.0, Density = 2
Sphere: x = 5, Volume = 93.75, Density = 23
Sphere: x = 17, Volume = 3684.75, Density = 20
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 12
Parallelepiped: a = 3  b = 10  c = 18, Volume = 540.0, Density = 15
Sphere: x = 9, Volume = 546.75, Density = 4
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 17
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 19
Sphere: x = 22, Volume = 7986.0, Density = 23
Parallelepiped: a = 18  b = 12  c = 24, Volume = 5184.0, Density = 10
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 9
Sphere: x = 24, Volume = 10368.0, Density = 13
Sphere: x = 13, Volume = 1647.75, Density = 0
Parallelepiped: a = 20  b = 9  c = 7, Volume = 1260.0, Density = 17
Parallelepiped: a = 5  b = 19  c = 4, Volume = 380.0, Density = 13
Parallelepiped: a = 8  b = 12  c = 1, Volume = 96.0, Density = 5
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 9
Sphere: x = 12, Volume = 1296.0, Density = 10
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 5
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 23
Parallelepiped: a = 6  b = 16  c = 9, Volume = 864.0, Density = 22
Sphere: x = 20, Volume = 6000.0, Density = 13
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 7
Parallelepiped: a = 22  b = 17  c = 6, Volume = 2244.0, Density = 14
Sphere: x = 22, Volume = 7986.0, Density = 3
Sphere: x = 9, Volume = 546.75, Density = 15
Sphere: x = 7, Volume = 257.25, Density = 21
Parallelepiped: a = 2  b = 23  c = 21, Volume = 966.0, Density = 3
Parallelepiped: a = 1  b = 22  c = 1, Volume = 22.0, Density = 7
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 1
Parallelepiped: a = 22  b = 7  c = 23, Volume = 3542.0, Density = 14
Parallelepiped: a = 23  b = 13  c = 16, Volume = 4784.0, Density = 15
Parallelepiped: a = 21  b = 12  c = 21, Volume = 5292.0, Density = 10
Parallelepiped: a = 14  b = 6  c = 4, Volume = 336.0, Density = 10
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 4
Parallelepiped: a = 12  b = 10  c = 19, Volume = 2280.0, Density = 11
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 14
Sphere: x = 3, Volume = 20.25, Density = 5
Sphere: x = 17, Volume = 3684.75, Density = 2
Sphere: x = 6, Volume = 162.0, Density = 19
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 16
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 3
Parallelepiped: a = 5  b = 18  c = 19, Volume = 1710.0, Density = 14
Sphere: x = 23, Volume = 9125.25, Density = 24
Sphere: x = 19, Volume = 5144.25, Density = 12
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 0
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 5
Parallelepiped: a = 1  b = 23  c = 4, Volume = 92.0, Density = 9
Parallelepiped: a = 8  b = 23  c = 9, Volume = 1656.0, Density = 17
Parallelepiped: a = 18  b = 18  c = 14, Volume = 4536.0, Density = 6
Sphere: x = 13, Volume = 1647.75, Density = 14
Parallelepiped: a = 22  b = 8  c = 12, Volume = 2112.0, Density = 10
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 4
Parallelepiped: a = 16  b = 9  c = 10, Volume = 1440.0, Density = 5
Sphere: x = 20, Volume = 6000.0, Density = 18
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 22
Parallelepiped: a = 9  b = 8  c = 10, Volume = 720.0, Density = 6
Sphere: x = 2, Volume = 6.0, Density = 22
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 2
Sphere: x = 4, Volume = 48.0, Density = 12
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 22
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 1
Sphere: x = 15, Volume = 2531.25, Density = 9
Parallelepiped: a = 20  b = 1  c = 21, Volume = 420.0, Density = 0
Sphere: x = 7, Volume = 257.25, Density = 23
Sphere: x = 19, Volume = 5144.25, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 16
Parallelepiped: a = 14  b = 14  c = 1, Volume = 196.0, Density = 20
Parallelepiped: a = 0  b = 21  c = 20, Volume = 0.0, Density = 3
Sphere: x = 3, Volume = 20.25, Density = 17
Parallelepiped: a = 20  b = 20  c = 12, Volume = 4800.0, Density = 13
Sphere: x = 23, Volume = 9125.25, Density = 18
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 22
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 21, Volume = 6945.75, Density = 13
Parallelepiped: a = 16  b = 4  c = 16, Volume = 1024.0, Density = 0
Sphere: x = 19, Volume = 5144.25, Density = 10
Sphere: x = 21, Volume = 6945.75, Density = 8
Parallelepiped: a = 15  b = 8  c = 1, Volume = 120.0, Density = 0
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 3
Sphere: x = 11, Volume = 998.25, Density = 21
Sphere: x = 9, Volume = 546.75, Density = 18
Sphere: x = 14, Volume = 2058.0, Density = 20
Parallelepiped: a = 12  b = 8  c = 10, Volume = 960.0, Density = 10
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 12
Sphere: x = 24, Volume = 10368.0, Density = 24
Parallelepiped: a = 9  b = 15  c = 22, Volume = 2970.0, Density = 7
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 23
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 1
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 24
Sphere: x = 9, Volume = 546.75, Density = 18
Sphere: x = 0, Volume = 0.0, Density = 15
Sphere: x = 11, Volume = 998.25, Density = 1
Parallelepiped: a = 19  b = 12  c = 13, Volume = 2964.0, Density = 13
Parallelepiped: a = 20  b = 11  c = 20, Volume = 4400.0, Density = 11
Sphere: x = 4, Volume = 48.0, Density = 1
Sphere: x = 5, Volume = 93.75, Density = 1
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 2
Parallelepiped: a = 22  b = 12  c = 20, Volume = 5280.0, Density = 4
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 24
Sphere: x = 15, Volume = 2531.25, Density = 16
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 14
Parallelepiped: a = 16  b = 7  c = 0, Volume = 0.0, Density = 3
Parallelepiped: a = 20  b = 15  c = 11, Volume = 3300.0, Density = 18
Sphere: x = 23, Volume = 9125.25, Density = 11
Parallelepiped: a = 20  b = 17  c = 3, Volume = 1020.0, Density = 1
Sphere: x = 9, Volume = 546.75, Density = 12
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 18
Parallelepiped: a = 19  b = 11  c = 1, Volume = 209.0, Density = 0
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 17
Parallelepiped: a = 14  b = 11  c = 9, Volume = 1386.0, Density = 19
Sphere: x = 7, Volume = 257.25, Density = 24
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 16
Parallelepiped: a = 10  b = 1  c = 22, Volume = 220.0, Density = 15
Sphere: x = 24, Volume = 10368.0, Density = 8
Sphere: x = 20, Volume = 6000.0, Density = 14
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 9
Parallelepiped: a = 14  b = 6  c = 16, Volume = 1344.0, Density = 22
Sphere: x = 10, Volume = 750.0, Density = 3
Sphere: x = 2, Volume = 6.0, Density = 15
Parallelepiped: a = 8  b = 8  c = 9, Volume = 576.0, Density = 14
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 6
Parallelepiped: a = 19  b = 18  c = 10, Volume = 3420.0, Density = 9
Sphere: x = 8, Volume = 384.0, Density = 22
Sphere: x = 20, Volume = 6000.0, Density = 9
Sphere: x = 17, Volume = 3684.75, Density = 22
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 5
Parallelepiped: a = 1  b = 18  c = 19, Volume = 342.0, Density = 9
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 2
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 11
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 19
Sphere: x = 9, Volume = 546.75, Density = 6
Sphere: x = 21, Volume = 6945.75, Density = 0
Sphere: x = 1, Volume = 0.75, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Sphere: x = 1, Volume = 0.75, Density = 0
Sphere: x = 15, Volume = 2531.25, Density = 9
Parallelepiped: a = 4  b = 7  c = 8, Volume = 224.0, Density = 6
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 24
Parallelepiped: a = 24  b = 20  c = 24, Volume = 11520.0, Density = 23
Parallelepiped: a = 2  b = 21  c = 8, Volume = 336.0, Density = 1
Parallelepiped: a = 19  b = 8  c = 15, Volume = 2280.0, Density = 4
Sphere: x = 9, Volume = 546.75, Density = 14
Parallelepiped: a = 7  b = 10  c = 6, Volume = 420.0, Density = 15
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 16
Parallelepiped: a = 7  b = 20  c = 5, Volume = 700.0, Density = 20
Parallelepiped: a = 19  b = 0  c = 8, Volume = 0.0, Density = 20
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 1
Parallelepiped: a = 20  b = 1  c = 10, Volume = 200.0, Density = 5
Parallelepiped: a = 6  b = 11  c = 18, Volume = 1188.0, Density = 20
Parallelepiped: a = 10  b = 4  c = 14, Volume = 560.0, Density = 3
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 22
Parallelepiped: a = 2  b = 22  c = 8, Volume = 352.0, Density = 17
Parallelepiped: a = 14  b = 17  c = 12, Volume = 2856.0, Density = 19
Sphere: x = 19, Volume = 5144.25, Density = 20
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 1
Parallelepiped: a = 19  b = 5  c = 1, Volume = 95.0, Density = 23
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 14
Parallelepiped: a = 9  b = 4  c = 19, Volume = 684.0, Density = 3
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 7
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 17
Parallelepiped: a = 1  b = 2  c = 4, Volume = 8.0, Density = 7
Sphere: x = 22, Volume = 7986.0, Density = 14
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 23
Sphere: x = 23, Volume = 9125.25, Density = 8
Sphere: x = 17, Volume = 3684.75, Density = 16
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 5
Parallelepiped: a = 21  b = 15  c = 3, Volume = 945.0, Density = 10
Sphere: x = 7, Volume = 257.25, Density = 24
Parallelepiped: a = 1  b = 23  c = 18, Volume = 414.0, Density = 16
Sphere: x = 2, Volume = 6.0, Density = 2
Sphere: x = 24, Volume = 10368.0, Density = 17
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 17
Sphere: x = 0, Volume = 0.0, Density = 1
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 19
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 1
Parallelepiped: a = 8  b = 5  c = 5, Volume = 200.0, Density = 11
Parallelepiped: a = 23  b = 11  c = 17, Volume = 4301.0, Density = 4
Parallelepiped: a = 12  b = 10  c = 24, Volume = 2880.0, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Parallelepiped: a = 5  b = 4  c = 23, Volume = 460.0, Density = 19
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 4
Sphere: x = 24, Volume = 10368.0, Density = 24
Parallelepiped: a = 8  b = 10  c = 16, Volume = 1280.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 20
Tetrahedron: a = 0, Volume = 0.0, Density = 12
Sphere: x = 10, Volume = 750.0, Density = 24
Parallelepiped: a = 20  b = 6  c = 24, Volume = 2880.0, Density = 11
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 11
Parallelepiped: a = 20  b = 5  c = 19, Volume = 1900.0, Density = 15
Sphere: x = 21, Volume = 6945.75, Density = 2
Sphere: x = 24, Volume = 10368.0, Density = 24
Parallelepiped: a = 6  b = 5  c = 9, Volume = 270.0, Density = 11
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 9
Sphere: x = 21, Volume = 6945.75, Density = 12
Sphere: x = 8, Volume = 384.0, Density = 17
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 23
Parallelepiped: a = 1  b = 19  c = 19, Volume = 361.0, Density = 11
Sphere: x = 23, Volume = 9125.25, Density = 1
Parallelepiped: a = 4  b = 21  c = 19, Volume = 1596.0, Density = 3
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 5
Parallelepiped: a = 21  b = 4  c = 21, Volume = 1764.0, Density = 10
Parallelepiped: a = 13  b = 15  c = 9, Volume = 1755.0, Density = 3
Parallelepiped: a = 3  b = 1  c = 21, Volume = 63.0, Density = 23
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 12
Sphere: x = 14, Volume = 2058.0, Density = 15
Parallelepiped: a = 12  b = 12  c = 21, Volume = 3024.0, Density = 16
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 19
Sphere: x = 13, Volume = 1647.75, Density = 9
Parallelepiped: a = 1  b = 6  c = 19, Volume = 114.0, Density = 8
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 17
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 20
Sphere: x = 21, Volume = 6945.75, Density = 21
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 10
Sphere: x = 12, Volume = 1296.0, Density = 3
Parallelepiped: a = 8  b = 2  c = 8, Volume = 128.0, Density = 19
Sphere: x = 16, Volume = 3072.0, Density = 21
Parallelepiped: a = 16  b = 14  c = 6, Volume = 1344.0, Density = 6
Sphere: x = 17, Volume = 3684.75, Density = 20
Sphere: x = 11, Volume = 998.25, Density = 13
Sphere: x = 4, Volume = 48.0, Density = 10
Sphere: x = 3, Volume = 20.25, Density = 7
Sphere: x = 23, Volume = 9125.25, Density = 19
Sphere: x = 10, Volume = 750.0, Density = 22
Parallelepiped: a = 4  b = 12  c = 20, Volume = 960.0, Density = 18
Parallelepiped: a = 16  b = 2  c = 22, Volume = 704.0, Density = 10
Sphere: x = 7, Volume = 257.25, Density = 16
Parallelepiped: a = 3  b = 6  c = 2, Volume = 36.0, Density = 13
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 19
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 13
Parallelepiped: a = 4  b = 23  c = 17, Volume = 1564.0, Density = 6
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 10
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 8
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 6
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 10
Sphere: x = 16, Volume = 3072.0, Density = 1
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 14
Sphere: x = 10, Volume = 750.0, Density = 18
Parallelepiped: a = 5  b = 19  c = 7, Volume = 665.0, Density = 7
Parallelepiped: a = 7  b = 4  c = 24, Volume = 672.0, Density = 2
Parallelepiped: a = 0  b = 2  c = 23, Volume = 0.0, Density = 17
Sphere: x = 8, Volume = 384.0, Density = 18
Sphere: x = 20, Volume = 6000.0, Density = 7
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 2
Parallelepiped: a = 16  b = 14  c = 12, Volume = 2688.0, Density = 6
Parallelepiped: a = 9  b = 16  c = 22, Volume = 3168.0, Density = 2
Sphere: x = 15, Volume = 2531.25, Density = 23
Parallelepiped: a = 14  b = 5  c = 22, Volume = 1540.0, Density = 23
Sphere: x = 18, Volume = 4374.0, Density = 5
Parallelepiped: a = 3  b = 3  c = 14, Volume = 126.0, Density = 10
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 21
Sphere: x = 18, Volume = 4374.0, Density = 8
Sphere: x = 20, Volume = 6000.0, Density = 18
Sphere: x = 6, Volume = 162.0, Density = 11
Parallelepiped: a = 10  b = 15  c = 24, Volume = 3600.0, Density = 10
Sphere: x = 24, Volume = 10368.0, Density = 20
Sphere: x = 20, Volume = 6000.0, Density = 2
Parallelepiped: a = 16  b = 12  c = 9, Volume = 1728.0, Density = 12
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 10
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 6
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 14
Sphere: x = 19, Volume = 5144.25, Density = 9
Parallelepiped: a = 8  b = 7  c = 2, Volume = 112.0, Density = 21
Parallelepiped: a = 20  b = 24  c = 18, Volume = 8640.0, Density = 22
Parallelepiped: a = 24  b = 14  c = 22, Volume = 7392.0, Density = 15
Sphere: x = 11, Volume = 998.25, Density = 0
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 8
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 18
Parallelepiped: a = 1  b = 5  c = 19, Volume = 95.0, Density = 9
Parallelepiped: a = 6  b = 1  c = 16, Volume = 96.0, Density = 1
Parallelepiped: a = 2  b = 22  c = 7, Volume = 308.0, Density = 9
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 17
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 17
Parallelepiped: a = 7  b = 14  c = 14, Volume = 1372.0, Density = 4
Parallelepiped: a = 17  b = 15  c = 13, Volume = 3315.0, Density = 13
Sphere: x = 11, Volume = 998.25, Density = 1
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 5
Sphere: x = 20, Volume = 6000.0, Density = 23
